target,horizon,model,mape,scored,cutoff
generator_1,12,ema,0.08758262818793124,190,2025-04-27 00:00:00
generator_1,16,ema,0.09002766300965913,190,2025-04-27 00:00:00
generator_1,24,ema,0.09652940274636343,190,2025-04-27 00:00:00
generator_1,32,ema,0.11390678808717315,190,2025-04-27 00:00:00
generator_1,48,ema,0.14850739468664484,190,2025-04-27 00:00:00
generator_1,64,ema,0.1448699064928554,190,2025-04-27 00:00:00
generator_1,72,ema,0.149648216026187,190,2025-04-27 00:00:00
generator_1,96,ema,0.12453727478655906,190,2025-04-27 00:00:00
generator_all,1,ema,0.0231189029700563,190,2025-04-27 00:00:00
generator_all,2,ema,0.030482680903262865,190,2025-04-27 00:00:00
generator_all,3,ema,0.0373178639986009,190,2025-04-27 00:00:00
generator_all,4,ema,0.043403338119099286,190,2025-04-27 00:00:00
generator_all,5,ema,0.04887496985487292,190,2025-04-27 00:00:00
generator_all,6,ema,0.0537559647620401,190,2025-04-27 00:00:00
generator_all,7,ema,0.05804333260278154,190,2025-04-27 00:00:00
generator_all,8,ema,0.061993427135383916,190,2025-04-27 00:00:00
generator_all,12,ema,0.07269916962787264,190,2025-04-27 00:00:00
generator_all,16,ema,0.07429111348881612,190,2025-04-27 00:00:00
generator_all,24,ema,0.0680690104934928,190,2025-04-27 00:00:00
generator_all,32,ema,0.0924311938772803,190,2025-04-27 00:00:00
generator_all,48,ema,0.14285483640632363,190,2025-04-27 00:00:00
generator_all,64,ema,0.15868870568480817,190,2025-04-27 00:00:00
generator_all,72,ema,0.1859366015270155,190,2025-04-27 00:00:00
generator_all,96,ema,0.20770758036148534,190,2025-04-27 00:00:00
generator_1,1,seasonal,0.09118595085051852,190,2025-04-27 00:00:00
generator_1,2,seasonal,0.09097100436718321,190,2025-04-27 00:00:00
generator_1,3,seasonal,0.09096661620283263,190,2025-04-27 00:00:00
generator_1,4,seasonal,0.09060492266209923,190,2025-04-27 00:00:00
generator_1,5,seasonal,0.091227509879865,190,2025-04-27 00:00:00
generator_1,6,seasonal,0.09201416058688587,190,2025-04-27 00:00:00
generator_1,7,seasonal,0.0926000171732704,190,2025-04-27 00:00:00
generator_1,8,seasonal,0.0937784722035693,190,2025-04-27 00:00:00
generator_1,12,seasonal,0.09921456226397109,190,2025-04-27 00:00:00
generator_1,16,seasonal,0.10467098122767587,190,2025-04-27 00:00:00
generator_1,24,seasonal,0.1113899148229038,190,2025-04-27 00:00:00
generator_1,32,seasonal,0.12504837215637005,190,2025-04-27 00:00:00
generator_1,48,seasonal,0.13007720271520573,190,2025-04-27 00:00:00
generator_1,64,seasonal,0.12972202247523243,190,2025-04-27 00:00:00
generator_1,72,seasonal,0.12953363540489496,190,2025-04-27 00:00:00
generator_1,96,seasonal,0.1290056062265591,190,2025-04-27 00:00:00
generator_all,1,seasonal,0.09139146464044134,190,2025-04-27 00:00:00
generator_all,2,seasonal,0.09154877612376798,190,2025-04-27 00:00:00
generator_all,3,seasonal,0.09160255901212247,190,2025-04-27 00:00:00
generator_all,4,seasonal,0.09169011525428335,190,2025-04-27 00:00:00
generator_all,5,seasonal,0.09157699526709114,190,2025-04-27 00:00:00
generator_all,6,seasonal,0.09140845950389735,190,2025-04-27 00:00:00
generator_all,7,seasonal,0.09145464238137585,190,2025-04-27 00:00:00
generator_all,8,seasonal,0.091559616473303,190,2025-04-27 00:00:00
generator_all,12,seasonal,0.09201239855045679,190,2025-04-27 00:00:00
generator_all,16,seasonal,0.09435156224320365,190,2025-04-27 00:00:00
generator_all,24,seasonal,0.09350014214372424,190,2025-04-27 00:00:00
generator_all,32,seasonal,0.11029014507848871,190,2025-04-27 00:00:00
generator_all,48,seasonal,0.13418562426939326,190,2025-04-27 00:00:00
generator_all,64,seasonal,0.16442500221338585,190,2025-04-27 00:00:00
generator_all,72,seasonal,0.17785723163062708,190,2025-04-27 00:00:00
generator_all,96,seasonal,0.20897874229663693,190,2025-04-27 00:00:00
generator_1,1,lgb_residual,0.030946939134321148,190,2025-04-27 00:00:00
generator_1,2,lgb_residual,0.039582610872852905,190,2025-04-27 00:00:00
