mode,target,horizon,block,mape
scale_offset,generator_all,3,6,0.025433645183816227
scale_offset,generator_all,4,6,0.028112030414553135
scale_offset,generator_all,5,6,0.028165066054195925
scale_offset,generator_all,6,6,0.028141567033767884
scale_offset,generator_all,7,6,0.02662695564976302
scale_offset,generator_all,8,6,0.026944492424786515
scale_offset,generator_all,3,7,0.03306134008687648
scale_offset,generator_all,4,7,0.043211649919331754
scale_offset,generator_all,5,7,0.05275983314269576
scale_offset,generator_all,6,7,0.06126055995849265
scale_offset,generator_all,7,7,0.06683401099801173
scale_offset,generator_all,8,7,0.07071323238833123
