cutoff,target,horizon,model,mape
2025-04-27 00:00:00,generator_all,24,ema,0.0680690104934928
2025-04-27 00:00:00,generator_all,24,seasonal,0.09350014214372424
2025-04-27 00:00:00,generator_all,24,lgb_residual,0.05856473197796907
2025-04-27 00:00:00,generator_all,24,cat_residual,0.06204556177197042
2025-04-27 00:00:00,generator_all,24,selected_ensemble,0.05842648331086957
2025-04-27 00:00:00,generator_all,48,persistence,0.1448703480825939
2025-04-27 00:00:00,generator_all,48,ema,0.14285483640632363
2025-04-27 00:00:00,generator_all,48,seasonal,0.13418562426939326
2025-04-27 00:00:00,generator_all,48,lgb_residual,0.09904212420260873
2025-04-27 00:00:00,generator_all,48,cat_residual,0.12001710270417189
2025-04-27 00:00:00,generator_all,48,selected_ensemble,0.10598579530510442
2025-04-27 00:00:00,generator_all,96,persistence,0.20897874229663693
2025-04-27 00:00:00,generator_all,96,ema,0.20770758036148534
2025-04-27 00:00:00,generator_all,96,seasonal,0.20897874229663693
2025-04-27 00:00:00,generator_all,96,lgb_residual,0.1685784545000766
2025-04-27 00:00:00,generator_all,96,cat_residual,0.1863292220157435
2025-04-27 00:00:00,generator_all,96,selected_ensemble,0.1940517875231394
