cutoff,candidate,period,target,model,mape
2025-04-27 00:00:00,half_life_14d,short,generator_all,ema,0.04462381004326223
2025-04-27 00:00:00,half_life_14d,short,generator_all,learned_mean,0.033129455073158835
2025-04-27 00:00:00,half_life_14d,short,generator_all,lgb_residual,0.03315692149100218
2025-04-27 00:00:00,half_life_14d,short,generator_all,persistence,0.04085444347446865
2025-04-27 00:00:00,half_life_14d,short,generator_all,seasonal,0.09152907858203531
2025-04-27 00:00:00,half_life_45d,long_sampled,generator_1,cat_residual,0.10853078318671572
2025-04-27 00:00:00,half_life_45d,long_sampled,generator_1,ema,0.11945115925292166
2025-04-27 00:00:00,half_life_45d,long_sampled,generator_1,learned_mean,0.10561969454224408
2025-04-27 00:00:00,half_life_45d,long_sampled,generator_1,lgb_residual,0.10380041159190642
2025-04-27 00:00:00,half_life_45d,long_sampled,generator_1,persistence,0.12264112161037852
2025-04-27 00:00:00,half_life_45d,long_sampled,generator_1,seasonal,0.11983278716160163
2025-04-27 00:00:00,half_life_45d,long_sampled,generator_all,cat_residual,0.10144150524018718
2025-04-27 00:00:00,half_life_45d,long_sampled,generator_all,ema,0.1253347764333868
2025-04-27 00:00:00,half_life_45d,long_sampled,generator_all,learned_mean,0.09692131119451547
2025-04-27 00:00:00,half_life_45d,long_sampled,generator_all,lgb_residual,0.09423472571706365
2025-04-27 00:00:00,half_life_45d,long_sampled,generator_all,persistence,0.12693624384131316
2025-04-27 00:00:00,half_life_45d,long_sampled,generator_all,seasonal,0.13445010605323957
2025-04-27 00:00:00,half_life_45d,short,generator_1,cat_residual,0.05210801394990778
2025-04-27 00:00:00,half_life_45d,short,generator_1,ema,0.05851649433449108
2025-04-27 00:00:00,half_life_45d,short,generator_1,learned_mean,0.05186671999505576
2025-04-27 00:00:00,half_life_45d,short,generator_1,lgb_residual,0.0518046253681063
2025-04-27 00:00:00,half_life_45d,short,generator_1,persistence,0.0575976346959139
2025-04-27 00:00:00,half_life_45d,short,generator_1,seasonal,0.09166858174077802
2025-04-27 00:00:00,half_life_45d,short,generator_all,cat_residual,0.03410790905383619
2025-04-27 00:00:00,half_life_45d,short,generator_all,ema,0.04462381004326223
2025-04-27 00:00:00,half_life_45d,short,generator_all,learned_mean,0.033552625457632546
2025-04-27 00:00:00,half_life_45d,short,generator_all,lgb_residual,0.03324865766647852
2025-04-27 00:00:00,half_life_45d,short,generator_all,persistence,0.04085444347446865
2025-04-27 00:00:00,half_life_45d,short,generator_all,seasonal,0.09152907858203531
